ds,group_1,markup,orders_num,algo_1_markup,algo_2_markup,algo_3_markup,algo_4_markup,algo_5_markup
20231008,group_1000,0.01,37050.0,0.06,0.02,0.01,0.02,0.05
20231008,group_1000,0.03,34168.89,0.06,0.02,0.01,0.02,0.05
20231008,group_1000,0.04,38100.0,0.06,0.02,0.01,0.02,0.05
20231008,group_1000,0.05,32920.0,0.06,0.02,0.01,0.02,0.05
20231008,group_1001,0.01,29882.86,0.04,0.06,0.04,0.02,0.0
20231008,group_1001,0.02,49193.33,0.04,0.06,0.04,0.02,0.0
20231008,group_1001,0.03,26202.22,0.04,0.06,0.04,0.02,0.0
20231008,group_1001,0.04,20320.0,0.04,0.06,0.04,0.02,0.0
20231008,group_1002,0.01,52864.0,0.06,0.01,0.05,0.01,0.05
20231008,group_1002,0.02,55920.0,0.06,0.01,0.05,0.01,0.05
20231008,group_1002,0.03,57550.0,0.06,0.01,0.05,0.01,0.05
20231008,group_1002,0.04,49637.5,0.06,0.01,0.05,0.01,0.05
20231008,group_1002,0.06,48880.0,0.06,0.01,0.05,0.01,0.05
20231008,group_1003,0.02,2660.0,0.05,0.0,0.06,0.06,0.0
20231008,group_1003,0.03,3185.71,0.05,0.0,0.06,0.06,0.0
20231008,group_1003,0.05,3102.22,0.05,0.0,0.06,0.06,0.0
20231008,group_1003,0.06,6480.0,0.05,0.0,0.06,0.06,0.0
20231008,group_1004,0.02,4426.67,0.06,0.01,0.02,0.03,0.05
20231008,group_1004,0.03,2945.0,0.06,0.01,0.02,0.03,0.05
20231008,group_1004,0.04,2952.0,0.06,0.01,0.02,0.03,0.05
20231008,group_1004,0.06,3020.0,0.06,0.01,0.02,0.03,0.05
20231008,group_1005,0.01,6420.0,0.0,0.01,0.04,0.01,0.05
20231008,group_1005,0.03,7727.5,0.0,0.01,0.04,0.01,0.05
20231008,group_1005,0.04,10280.0,0.0,0.01,0.04,0.01,0.05
20231008,group_1005,0.05,7180.0,0.0,0.01,0.04,0.01,0.05
20231008,group_1006,0.02,16660.0,0.03,0.04,0.03,0.04,0.06
20231008,group_1006,0.03,23451.11,0.03,0.04,0.03,0.04,0.06
20231008,group_1006,0.04,22860.0,0.03,0.04,0.03,0.04,0.06
20231008,group_1006,0.06,25410.0,0.03,0.04,0.03,0.04,0.06
20231008,group_1007,0.01,18311.43,0.06,0.04,0.04,0.02,0.03
20231008,group_1007,0.02,15412.0,0.06,0.04,0.04,0.02,0.03
20231008,group_1007,0.03,19987.5,0.06,0.04,0.04,0.02,0.03
20231008,group_1008,0.03,15650.0,0.05,0.01,0.05,0.04,0.03
20231008,group_1008,0.04,20190.0,0.05,0.01,0.05,0.04,0.03
20231008,group_1008,0.05,22405.0,0.05,0.01,0.05,0.04,0.03
20231008,group_1009,0.01,13615.0,0.01,0.03,0.01,0.06,0.01
20231008,group_1009,0.03,18595.0,0.01,0.03,0.01,0.06,0.01
20231008,group_1009,0.04,14702.5,0.01,0.03,0.01,0.06,0.01
20231008,group_1010,0.03,20620.0,0.06,0.05,0.03,0.04,0.04
20231008,group_1010,0.04,26128.57,0.06,0.05,0.03,0.04,0.04
20231008,group_1010,0.05,20273.33,0.06,0.05,0.03,0.04,0.04
20231008,group_1010,0.06,20850.0,0.06,0.05,0.03,0.04,0.04
20231008,group_1011,0.02,4400.0,0.04,0.05,0.06,0.02,0.02
20231008,group_1011,0.03,3248.57,0.04,0.05,0.06,0.02,0.02
20231008,group_1011,0.04,3160.0,0.04,0.05,0.06,0.02,0.02
20231008,group_1011,0.05,6075.0,0.04,0.05,0.06,0.02,0.02
20231008,group_1012,0.01,4953.33,0.03,0.0,0.01,0.06,0.02
20231008,group_1012,0.02,5730.0,0.03,0.0,0.01,0.06,0.02
20231008,group_1012,0.03,5957.5,0.03,0.0,0.01,0.06,0.02
